API NO.,District,Lease,Well Number,Permitted Operator,County,Status Date,Status Number,Wellbore Profiles,Filing Purpose,Amend,Total Depth,Stacked Lateral Parent Well DP #,Status,HREF,Submitted_Dt,Approved_Dt,Horizontal Wellbore,Acres
12335385,02,WILLEKE A,21H,BPX OPERATING COMPANY(085408),DE WITT,Submitted: 02/15/2024 Approved: 03/21/2024,897395,Horizontal,New Drill,N,14000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=496975782&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LCCLByMop37CJrByKDYgiJAtgxK7gPQx5d2USB1OmcSeTwdj1cE5yCL4ALEHWJbt9nH4aXFruFHWPAPezLjmCSjMcv20yTm4vtG1VWliCBhIx8fDjWVai479CH4wT1Z7H1Oz5PFrx9V1kUiVdDbfI7dPt6bEAjQgDZPOOzjqzXYngnaAb8y06RlWqNLbDRo-jcTJrt4JA9CKqXVTs-dhpN1fkgHn2cxUvvTC7nqL_mrteJmGaTf27cwGmfx4sZ_AxHHZs2bvYIoFAYviooKeNH0bgm4_n2TOL8BXQS4rV8CAAA,2024-02-15,2024-03-21,,572.71
12335388,02,LESKE-MOTL SA A,1H,MARATHON OIL EF LLC(525398),DE WITT,Submitted: 03/07/2024 Approved: 03/22/2024,898019,Horizontal,New Drill,N,22000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497065602&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LADLxyMop3bJmgGI4NiC4oA2TIoOW0BfXxpFwVSp3MmkcfT8XhZcA4yCy5APCC2dZtcGN5a7Bp-hAX_MCc9jlEyGrNkPnVkNlw2qi4KRQQJG_n8dKipVHPZofPeDfbFYO9SfJ0Mfv2osi4QqYDepHPo9uFRe09ACWjShMM-7IzG9kxQBfzGTBOXaY02slGj7t-1n8zikTwIqVSpqmruSjgZ64Z4cGkWI7U_vZCr_pq_WivulkH8vX0Lo7YGr278NxBxbNa82SuITGHwrKgogOeS3i0Bt7_vEuc3aid-0F8CAAA,2024-03-07,2024-03-22,Allocation,1048.77
12335389,02,LESKE-MOTL SA B,2H,MARATHON OIL EF LLC(525398),DE WITT,Submitted: 03/07/2024 Approved: 03/22/2024,898020,Horizontal,New Drill,N,22000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497065603&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LCDdOBgFOncpEEzGBkUW1AEyJZByX0A-vjSLgqkTudMIo-n4_Gy4BxkFlyAeEBsqia50O8bbGt-ghn_MGc9DFEyGrNkPnVkNryvVFUUiggSVvJ5e6yoVFPZovPe9fbFYOdS3I0Gv35UWRuIVEBn0iW0h_CkvSegBDRpxP4QXo3G5kLQBviNmTrO0wptZING3b1pP5rZI3kQUqlSbR6nroSzsa6PR5cmMVL70wu56K_5i7XibhnE39vXMGhr8OrGfwMRp3rJm7yCyBQGz4qKAngu6V0TcPv7LnF-A8nzGdtfAgAA,2024-03-07,2024-03-22,Allocation,1048.77
12335390,02,LESKE-MOTL SA C,3H,MARATHON OIL EF LLC(525398),DE WITT,Submitted: 03/07/2024 Approved: 03/22/2024,898021,Horizontal,New Drill,N,22000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497065604&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LCDduBgFO3cR9AMRgbFJhQBsmVQch-AP760iwKp0zmTyOPpeLxJSQl6UlKBuiFqqib72L801NbyAAv-gUc7DEkLHouMnzYJF983pioKwwQNG_34sK-4NHPZkg_B9-4JqfM5PY9IXz-qoo1MKqDDfIrtLt7bEBgogTCP1O_iK1pqTgzdgrwwU6dlWpFLYrBkuzcbRlw8sgeljSnNnZy7Eo7ofJ_2Ps9irPanV3rVn_NXa9XVMki_t29hsA7p7MZ_A1GHes2bvYKaOAw5GS4KkFPJ75aBy99XifMb9BeUxF8CAAA,2024-03-07,2024-03-22,Allocation,1048.77
12335391,02,LESKE-JUDD-MOTL SA D,4H,MARATHON OIL EF LLC(525398),DE WITT,Submitted: 03/07/2024 Approved: 03/22/2024,898022,Horizontal,New Drill,N,22000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497065608&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LCDduBgFO3cR9AMRgbFJhQBsmVQch-AP760iwKp0zmTyOPpeLxJSQl6UlKBuiFqqib72L801NbyAAv-gUc7DEkLHouMnzYJF983pioKwwQNG_34sK-4NHPZkg_B9-4JqfM5PY9IXz-qoo1MKqDDfIrtLt7bEBgogTCP1O_iK1pqTgzdgrwwU6dlWpFLYrBkuzcbRlw8sgeljSnNnZq7Eo7ofJ_2Ps9irPanV3rVn_NXa9XVMki_t29hsA7p7MZ_A1GHes2bvYKaOAw5GS4KkFPJ75aBy99XifMbV8Pzz18CAAA,2024-03-07,2024-03-22,Allocation,1428.54
12335392,02,P. FRISBIE B,6H,BPX OPERATING COMPANY(085408),DE WITT,Submitted: 03/19/2024 Approved: 03/28/2024,898259,Horizontal,New Drill,N,14000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497103340&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LCDduBgFO3cR9AMRgbFJhQBsmVQch-AP760iwKp0zmTyOPpeLxJSQl6UlKBuiFqqib72L801NbyAAv-gUc7DEkLHouMnzYJF983pioKwwQNG_34sK-4NHPZkg_B9-4JqfM5PY9IXz-qoo1MKqDDfIrtLt7bEBgogTCP1O_iK1pqTgzdgrwwU6dlWpFLYrBkuzcbRlw8sgeljSnN3XwJCx7R-T7tfZ7FWO1Pr_SqP-ev1qqrZZB-b9_CYB3S2Y3_BqIO9Zo3ewU1cRhyMlwUIKeS3y0Dl7-vEuc3sr5b0l8CAAA,2024-03-19,2024-03-28,,320.0
12335393,02,P. FRISBIE B,7H,BPX OPERATING COMPANY(085408),DE WITT,Submitted: 03/25/2024 Approved: 03/28/2024,898369,Horizontal,New Drill,N,14000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497103363&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LCDduBgFO3cR9AMRgbFJhQBsmVQch-AP760iwKp0zmTyOPpeLxJSQl6UlKBuiFqqib72L801NbyAAv-gUc7DEkLHouMnzYJF983pioKwwQNG_34sK-4NHPZkg_B9-4JqfM5PY9IXz-qoo1MKqDDfIrtLt7bEBgogTCP1O_iK1pqTgzdgrwwU6dlWpFLYrBkuzcbRlw8sgeljSnN3WyIBY_ofJ_2Ps9irPanV3rVn_NXa9XVMki_t29hsA7p7MZ_A1GHes2bvYKaOAw5GS4KkFPJ75aBy99XifMbEWo82V8CAAA,2024-03-25,2024-03-28,,320.0
12335394,02,P. FRISBIE B,8H,BPX OPERATING COMPANY(085408),DE WITT,Submitted: 03/25/2024 Approved: 03/26/2024,898370,Horizontal,New Drill,N,14000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497084975&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9HLQDhyMop37CJrByKDYgiJAtgxK7gPQx5d2USB1OmcSeTwdj1cE5yCL4ALEDWJbt9nH4aXFruEHWPAPezTjmCSjMcv20yTm4vtG1VorIkjYyMeHfU2lmssOfQh-cE8We5_T82Tx60eVdZFIGnqbT7HbxXsTAgEVoM0TDrv4ag22J4JugV-YadIyrdElNho0_ZsJk108kgchlarUnZ67Co7W-SHtfZ7FSO1PL-SqP-ev1oqrZZB-b9_CaJzFsxv_DUQcmjVv9gqiUBi8KCo08FLRuyXg8vdV4vwGeEUL6V8CAAA,2024-03-25,2024-03-26,,320.0
12335395,02,LP BUTLER B,13H,BPX OPERATING COMPANY(085408),DE WITT,Submitted: 03/26/2024 Approved: 03/28/2024,898377,Horizontal,New Drill,N,14000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497084964&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LCCduBgFO3cR9AMRgbFFhQBsmVQch-APr60iwKp0zmTyOPpeLwiOAdZBBcgbhDbus0-Di8tdg0_wIJ_2KMZxyQZjVm2nyYxF983qq4qRQQJG_n4sK-pVHPZoQ_BD-7JYu9zep4sfv2osi4SqYLe5lPsdvHehECABrR5wmEXX63B9kTQLfALM01apjW6xEaDpn8zYbKLR_IgpFJa3em503C0zg9p7_MsRmp_eiFX_Tl_tVZcLYP0e_sWRuMsnt34byDi0Kx5s1cQhcLgRVFRAS-a3i0Bl7-vEuc325Fs4l8CAAA,2024-03-26,2024-03-28,,639.8
12335396,02,LP BUTLER B,14H,BPX OPERATING COMPANY(085408),DE WITT,Submitted: 03/26/2024 Approved: 03/28/2024,898378,Horizontal,New Drill,N,14000,826637,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497084971&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LCNduBgFO3cJkEzGBkUW1AEyJZByX0A-vjSLgqkTudMIo-n4_Gy4BxkFlyAuENs6za5MGxb7Bp-hAX_MCc9jlEyGrNkPnVkNrxvVF0UiggSNvL56VBTqeayQ-e9G-yLwd6l-DoZ_PpRZV0gUgG9SefQ7cOj9p6AEtCkCYd92BmN7Zmge-BXZpq4TGu0kY0adf-m_WQWj-RBSKVK9VDNXQknY90QDy7NYqT2pxdy1V_yV2vFzTKIv7dXMGpr8OLGfwMRx2bNm72CyBQGz4qKAngu6a0IuP59kzi_AT7sxP9fAgAA,2024-03-26,2024-03-28,Stacked Lateral,639.8
12335397,02,LP BUTLER B,15H,BPX OPERATING COMPANY(085408),DE WITT,Submitted: 03/26/2024 Approved: 03/28/2024,898379,Horizontal,New Drill,N,14000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497084973&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LDTduBgBO2ctEEzGBkUW1AEyJZByX0A-vjSLgqkTudMIo-n4_Gy4BxkFlyAuENsqia50L802Nb8CDP-YU56GKJkNGbJfOrIbHhfqaooFBEkrOTz06GiUk1li85719utwc6luBsNfv2osjYQqYDOpHNo92GjvSegBDRpxH4fXo3G5kzQA_ArM3WcpxXayAaNunvTfjSzR_IgpFKleryfuhJOxro-HlyaxEjtTy_kor_kL9aKm2UQf29fw6CtwYsb_w1EHOslb_IKIlMYPCsqCuC5pHdNwPXvm8T5DZ04o_RfAgAA,2024-03-26,2024-03-28,,639.8
12335398,02,LP BUTLER B,16H,BPX OPERATING COMPANY(085408),DE WITT,Submitted: 03/26/2024 Approved: 03/28/2024,898380,Horizontal,New Drill,N,14000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497084974&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LCDdOBgFOncpEEzGBkUW1AEyJZByX0A-vjSLgqkTudMIo-n4_Gy4BxkFlyAeEBsqia50O8bbGt-ghn_MGc9DFEyGrNkPnVkNryvVFUUiggSVvJ5e6yoVFPZovPe9fbFYOdS3I0Gv35UWRuIVEBn0iW0h_CkvSegBDRpxP4QXo3G5kLQBviNmTrO0wptZING3b1pP5rZI3kQUqlSPW6mroSzsa6PR5cmMVL70wu56K_5i7XibhnE39vXMGhr8OrGfwMRp3rJm7yCyBQGz4qKAngu6V0TcPv7LnF-A-yyqp9fAgAA,2024-03-26,2024-03-28,,639.8
17339099,08,HAWKEN,1HA,"CROWNQUEST OPERATING, LLC(191554)",GLASSCOCK,Submitted: 03/07/2024 Approved: 03/14/2024,898036,Horizontal,New Drill,N,9000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497064576&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LDTeuBgFO3cR9AMRgbFFhQBsmVQch-APr60iwKp0zmTyOPpeLwsOAeZBRcgbhDbuk0uDC8tdg0_wIJ_mKMexygZjVkynzoyG943qi4KRQQJG_n4sK-pVHPZofPeDfbJYO9SfJ4Mfv2osi4QqYDepFPoduFee09ACWjShMMuvBqN7YmgO-AXZpq4TGu0kY0adf-m_WQWj-RB3CpV8aqauxKOxroh7l2axUjtTy_kqj_nr9aKq2UQf2_fwqitwbMb_w1EHJo1b_YKIlMYPCsqCuC5pHdLwOXvq8T5DVpzCC5fAgAA,2024-03-07,2024-03-14,Allocation,482.7
17339100,08,HAWKEN,2HD,"CROWNQUEST OPERATING, LLC(191554)",GLASSCOCK,Submitted: 03/07/2024 Approved: 03/14/2024,898037,Horizontal,New Drill,N,11000,898036,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497064577&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LDTduBgBO2ctEEzGBkUW1AEyJZByX0A-vjSLgqkTudMOh5P5PGy4BxkFlyAuENsqia50L802Nb8CDP_YU56GKJk1GbJfOrIbHhfqaooFAkkrOTz06EiqCbYovPe9XZrsHMp7kaDXz9TWRtIVEBn0jm0-7DR3hNRApo0Yr8Pr0ZjcybqAfiVmTrO3QptZING3b1pP5rZI3kQ90o9EpqqEk7Guj4eXJqG0bQ_tZCL-lK_WCtulkH8vX0Ng7YGL278NxBxrJe6ySuITGHwrAgUwHNJ75qI6983ifMbFMMmJl8CAAA,2024-03-07,2024-03-14,"Allocation, Stacked Lateral",482.7
17339101,08,HAWKEN,3BB,"CROWNQUEST OPERATING, LLC(191554)",GLASSCOCK,Submitted: 03/07/2024 Approved: 03/14/2024,898038,Horizontal,New Drill,N,9000,898036,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497064578&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LDTduBgBO2ctEEzGBkUW1AEyJZByX0A-vjSLgqkTudMIo-n4_Gy4BxkFlyAuENsqia50L802Nb8CDP-YU56GKJkNGbJfOrIbHhfqaooFBEkrOTz06GiUk1li85719utwc6luBsNfv2osjYQqYDOpHNo92GjvSegBDRpxH4fXo3G5kzQA_ArM3WcpxXayAaNunvTfjSzR_Ig7pV6JLdTV8LJWNfHg0uTGKn96YVc9Jf8xVpxswzi7-1rGLQ1eHHjv4GIY73kTV5BZAqDZ0VFATyX9K4JuP59kzi_AbcXQS1fAgAA,2024-03-07,2024-03-14,"Allocation, Stacked Lateral",482.7
17339102,08,HAWKEN,4JM,"CROWNQUEST OPERATING, LLC(191554)",GLASSCOCK,Submitted: 03/07/2024 Approved: 03/14/2024,898039,Horizontal,New Drill,N,9000,898036,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497064579&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LDTduBgBO2ctEEzGBkUW1AEyJZByX0A-vjSLgqkTudMIo-n4_Gy4BxkFlyAuENsqia50L802Nb8CDP-YU56GKJkNGbJfOrIbHhfqaooFBEkrOTz06GiUk1li85719utwc6luBsNfv2osjYQqYDOpHNo92GjvSegBDRpxH4fXo3G5kzQA_ArM3WcpxXayAaNunvTfjSzR_Ig7pV6JDNTV8LJWNfHg0uTGKn96YVc9Jf8xVpxswzi7-1rGLQ1eHHjv4GIY73kTV5BZAqDZ0VFATyX9K4JuP59kzi_AVJq6TBfAgAA,2024-03-07,2024-03-14,"Allocation, Stacked Lateral",482.7
17339103,08,HAWKEN,5HB,"CROWNQUEST OPERATING, LLC(191554)",GLASSCOCK,Submitted: 03/12/2024 Approved: 03/14/2024,898091,Horizontal,New Drill,N,9000,898036,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497078862&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LDTduBgBO2ctEEzGBkUW1AEyJZByX0A-vjSLgqkTudMIo-n4_Gy4BxkFlyAuENsqia50L802Nb8CDP-YU56GKJkNGbJfOrIbHhfqaooFBEkrOTz06GiUk1li85719utwc6luBsNfv2osjYQqYDOpHNo92GjvSegBDRpxH4fXo3G5kzQA_ArM3WcpxXayAaNunvTfjSzR_Ig7pV6JAdTV8LJWNfHg0uTGKn96YVc9Jf8xVpxswzi7-1rGLQ1eHHjv4GIY73kTV5BZAqDZ0VFATyX9K4JuP59kzi_AfG-jjtfAgAA,2024-03-12,2024-03-14,"Allocation, Stacked Lateral",482.7
17339104,08,HAWKEN,6LM,"CROWNQUEST OPERATING, LLC(191554)",GLASSCOCK,Submitted: 03/12/2024 Approved: 03/14/2024,898093,Horizontal,New Drill,N,9000,898036,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497079911&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LDTduBgBO2ctEEzGBkUW1AEyJZByX0A-vjSLgqkTudMIo-n4_Gy4BxkFlyAuENsqia50L802Nb8CDP-YU56GKJkNGbJfOrIbHhfqaooFBEkrOTz06GiUk1li85719utwc6luBsNfv2osjYQqYDOpHNo92GjvSegBDRpxH4fXo3G5kzQA_ArM3WcpxXayAaNunvTfjSzR_Ig7pV6JPGpK-FkrOvjwaVJjNT-9EIu-kv-Yq24WQbx9_Y1DNoavLjx30DEsV7yJq8gMoXBs6KiAJ5LetcEXP--SZzfmJG5C18CAAA,2024-03-12,2024-03-14,"Allocation, Stacked Lateral",482.7
17339107,08,ZANT HURT BLALOCK EAST UNIT 1,0181NH,XTO ENERGY INC.(945936),GLASSCOCK,Submitted: 03/11/2024 Approved: 03/28/2024,898080,Horizontal,New Drill,N,10185,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497075785&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LCTduBgFO3cpEEzGBkUW1AEyJZByX0A-vjSLgqkTudMIo-n4_Gy4BxkFlyAuENsqia50O8abGt-hBn_MCc9DFEyGrNkPnVkNryvVFUUiggSVvL56VBRqaayRee96-2Lwc6luB0Nfv2osjYQqYDOpHNo9-FRe09ACWjSiP0-vBqNzZmge-BXZuo4Tyu0kQ0adfem_Whmj-RBbJR6EHwzdSWcjHV9PLg0iZHan17IRX_JX6wVN8sg_t6-hkFbgxc3_huIONZL3uQVRKYweFZUFMBzSe-agOvfN4nzG33sERZfAgAA,2024-03-11,2024-03-28,,815.21
17339108,08,ZANT HURT BLALOCK UNIT 1,4881NH,XTO ENERGY INC.(945936),GLASSCOCK,Submitted: 03/26/2024 Approved: 03/27/2024,898101,Horizontal,New Drill,Y,10219,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497133861&rrcActionMan=H4sIAAAAAAAAAL1Ru27DMAz8mnQU9LDTduBgBO2ctEEzGBkUW1AEyJZByX0A-vjSLgqkTudsvOOROp6y4BxkFlyAuENsqia50L802Nb8CDP_YU56GKJk1GbJfOrIbHhfqaooFAkkrOTz06GiUk1li85719utwc6luBsNfv1sZW0gUQGdSefQ7sNGe09ECWjSiP0-vBqNzZmoB-BXZuo4dyu0kQ0adfem_Whmj-RB3Cv1SIMTKuFkrOvjwaVpGW37g4Vc4Ev94llxswzi7-1rGLQ1eHHjv4GIY73UTV5BZAqDZ0WfWgDPJRFrIq6nbxLnNy75RltfAgAA,2024-03-26,2024-03-27,,656.6
17339109,08,HAWKEN F,11HD,"CROWNQUEST OPERATING, LLC(191554)",GLASSCOCK,Submitted: 03/12/2024 Approved: 03/15/2024,898116,Horizontal,New Drill,N,11000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497079927&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LDTZuBgFO3cpEEzGBkUW1AEyJZByX0A-vjSLgqkTudMIo-n4_Gy4BxkFlyAuENsqia50O8abGt-hBn_MCc9DFEyGrNkPnVkNryvVFUUiggSVvL56VBRqaayRee96-2Lwc6luB0Nfv2osjYQqYDOpHNo9-FRe09ACWjSiP0-vBqNzZmgB-BXZuo4Tyu0kQ0adfem_Whmj-RB3Cu1EXwzdSWcjHV9PLg0iZHan17IRX_JX6wVN8sg_t6-hkFbgxc3_huIONZL3uQVRKYweFZUFMBzSe-agOvfN4nzG6-yf3ZfAgAA,2024-03-12,2024-03-15,Allocation,482.7
17339110,08,HAWKEN E,8HA,"CROWNQUEST OPERATING, LLC(191554)",GLASSCOCK,Submitted: 03/12/2024 Approved: 03/15/2024,898108,Horizontal,New Drill,N,9000,898103,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497079921&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQURMtO24GDEbRz0gbNYGRQbEERYFsGJfcB6ONLuyiQOp0ziTyejsdLICVmCSQg3BHVZR2d719qaip5xBn_MCc9DCETPBbRfOogrH9fqTLPFRMyXGXPT4eSSzWVDbm2db3dGupcDLvR0NePqmg8k3LsTDz7Zu83um0ZKJBMHKnf-1ejqT4z9IDyykwV5mlJNohBk-7edDua2SN7gHulHgHk1BV4Mtb14eDiJMZqf3rIFv0lf7EWbpZB-L19jYO2hi5u_DcQOFZL3uQVIXEYMikucpSp4HfNwPXvm8T5DZJW8mlfAgAA,2024-03-12,2024-03-15,"Allocation, Stacked Lateral",482.7
17339111,08,HAWKEN E,9HB,"CROWNQUEST OPERATING, LLC(191554)",GLASSCOCK,Submitted: 03/12/2024 Approved: 03/15/2024,898111,Horizontal,New Drill,N,9000,898103,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497079924&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQURMtO24GDEbRz0gbNYGRQbEERYFsGJfcB6ONLuyiQOp0ziTyejsdLICVmCSQg3BHVZR2d719qaip5xBn_MCc9DCETPBbRfOogrH9fqTLPFRMyXGXPT4eSSzWVDbm2db3dGupcDLvR0NePqmg8k3LsTDz7Zu83um0ZKJBMHKnf-1ejqT4z9IDyykwV5mlJNohBk-7edDua2SN7gHulHgFg6go8Gev6cHBxEmO1Pz1ki_6Sv1gLN8sg_N6-xkFbQxc3_hsIHKslb_KKkDgMmRQXOcpU8Ltm4Pr3TeL8BjGClWJfAgAA,2024-03-12,2024-03-15,"Allocation, Stacked Lateral",482.7
17339112,08,HAWKEN E,10LM,"CROWNQUEST OPERATING, LLC(191554)",GLASSCOCK,Submitted: 03/12/2024 Approved: 03/15/2024,898114,Horizontal,New Drill,N,9000,898103,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497079925&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQ0RMlJ24GDEbRzH0EzGBkUW1AEyJZByX0A-vjSLgqkTudMIo-n4_EyCIEygwCEG6KmapIL_UtDbS0OOOMf5qiHIcqCx0UynzoWNryvVFWWigkSV_LxYV9xqaayJee96-2Toc6l-Dwa-vpRLdrApBI7k06h3YWt9p6BNZJJI_W78Go0NSeG7lBcmKnjPK3IxmLQpLs37Ucze2QPcKvUPcB0CQsejXV93Ls0ibHanx7koj_nL9bC1TKIv7dvcNDW0NmN_wYCh3rJm7wiZA5DZMVFiSKv-d0wcPn7KnF-A9T_PX9fAgAA,2024-03-12,2024-03-15,"Allocation, Stacked Lateral",482.7
17339113,08,HAWKEN E,7HD,"CROWNQUEST OPERATING, LLC(191554)",GLASSCOCK,Submitted: 03/12/2024 Approved: 03/15/2024,898103,Horizontal,New Drill,N,11000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497079912&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQ0RMlJ24GDEbRzH0EzGBkUW1AEyJZByX0A-vjSLgqkTudMIo-n4_EyCIEygwCEG6KmapIL_UtDbS0OOOMf5qiHIcqCx0UynzoWNryvVFWWigkSV_LxYV9xqaayJee96-2Toc6l-Dwa-vpRLdrApBI7k06h3YWt9p6BNZJJI_W78Go0NSeG7lBcmKnjPK3IxmLQpLs37Ucze2QPcKvUPcBkiAWPxro-7l2axFjtTw9y0Z_zF2vhahnE39s3OGhr6OzGfwOBQ73kTV4RMochsuKiRJHX_G4YuPx9lTi_AXcrWnRfAgAA,2024-03-12,2024-03-15,Allocation,482.7
