API NO.,District,Lease,Well Number,Permitted Operator,County,Status Date,Status Number,Wellbore Profiles,Filing Purpose,Amend,Total Depth,Stacked Lateral Parent Well DP #,Status,HREF,Submitted_Dt,Approved_Dt,Horizontal Wellbore,Acres
31746008,08,RIPPLE UNIT 1,3702BH,XTO ENERGY INC.(945936),MARTIN,Submitted: 03/27/2024 Approved: 04/01/2024,898420,Horizontal,New Drill,N,10500,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497138950&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LKbhYNRpHMfQTMYGRRbcATIlkHJfQD6-NIuCqRO50w6Hk_HI7PgHGQWXIC4Q2yqJrkwvDTY1vwIC_9hT2Yco2TUZsl-msi68L5RldaKBBI28nF3qAiqGbbovHdD92Sxdyk-Txa_flxZG0ikobfpHNp9eDDeE1EA2jThsA-v1mBzJmoL_CpMHZduhV1ko0HTvxk_2SUjZVDiXpecb-eqgJPt3BAPLs1m5PanFnJVX-pXY8XNbhB_dy9hNJ3Fix3_PYg41mvdnBVEliB4VgQ08FzQWxJx_fsm5_wG0GbC_18CAAA,2024-03-27,2024-04-01,,645.0
31746009,08,RIPPLE UNIT 1,3772JH,XTO ENERGY INC.(945936),MARTIN,Submitted: 03/27/2024 Approved: 04/01/2024,898422,Horizontal,New Drill,N,10500,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497136938&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQ09LLbDhyMoJ37CJrByKDYgiJAtgxK7gPQx5d2USB1OmfS8Xg6Hpk5YyAyZxz4DWJbt8mF4aXFrmEHWPgPc9TjGEVB7SKZTx0LG943slZKkkDARjw-7GuCcoYdOu_dYJ8M9i7F58ng149r0QUSKehNOoVuF7baeyJKQJMmHHbh1WhsT0TdAbsI08SlW6ONxahR92_aT2bJSBkkv1UVY_dzVcLRWDfEvUuzGbn9qblY1ef61Vh-tRvE390rGLU1eLbjvwfhh2atm7MCzwI4y5KAApZLeisiLn9f5Zzfc7Kl9F8CAAA,2024-03-27,2024-04-01,,645.0
31746010,08,RIPPLE UNIT 1,3782NH,XTO ENERGY INC.(945936),MARTIN,Submitted: 03/27/2024 Approved: 04/01/2024,898429,Horizontal,New Drill,N,10500,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497136939&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LLbhYNRtHObBM1gZFBsQREgWwYl9wH440u7KJA6nTOJPJ6Ox5sE5yAnwQWIO8SmarKP_bbBtuZHWPAPezLDkCSjMcv20yTm4vtGVVorIkjYyOenQ0WlmssWfQi-dy8WO5_T62jx60eVtZFIGjqbz7Hdx0cTAgEFoM0j9vu4swabM0EPwK_M1GmZVugSGwya7s2E0S4eyYMS97rkgs9dASfrfJ8OPs9ipPanF3LVX_JXa8XNMki_t5cwGGfx4sZ_AxHHes2bvYKYJFAMigoNfCroLQm4_n2TOL8BTlYo618CAAA,2024-03-27,2024-04-01,,645.0
31746011,08,RIPPLE UNIT 1,3762DH,XTO ENERGY INC.(945936),MARTIN,Submitted: 03/27/2024 Approved: 04/01/2024,898432,Horizontal,New Drill,N,10500,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497138988&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQURPnRLhyMop3bJGgGI4NiC4oA2zIouQ9AH1_aRYHU6ZxJx-PpeGQCKVElkIBwR9RUTXR-2DbU1vKIC_9hTnocgxLcFtF86iCsf99kVZ5nLFC4Uc9Ph4phNsOWXNe5wb4Y6l0Mr5Ohrx9X0XoW5dibePbt3j_qrmOiQDJxomHvd0ZTc2bqAeVVmDos3YpsEKMm3b_pbjJLRs6QwX1eSoC5KvBkrBvCwcXZjN3-1KBW9aV-NRZudoPwu3uJo7aGLnb89yBwrNe6OStCUggyZQxylKngt2Ti-vdNzvkN7YJP4F8CAAA,2024-03-27,2024-04-01,,645.0
31746012,08,RIPPLE UNIT 1,3773JH,XTO ENERGY INC.(945936),MARTIN,Submitted: 03/27/2024 Approved: 04/01/2024,898434,Horizontal,New Drill,N,10500,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497138989&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQURElxu3AwinbuI2gGI4NiC44A2zIouQ9AH1_aRYHU6ZxJx-PpeGQGKVFlkIBwQ1SXdfJheKmpqeQBF_7DHe04RiW4LZL7tFG04X2jS2M0CxRu1OPDvmSoZ9iQ7zo_tE-Oep_i8-To68dVNIFFBnuXTqHZhXvbdUxskVyaaNiFV2epPjF1h_IiTBWXbkltFKMl27_ZbnJLRs6g4dYUEuZN2PDoWj_EvU-zGbv9qUGt6nP9aixc7Qbxd_cCR9s6Otvx34PAoVrr5qwIWSHIrBkYlHnLb8HE5e-rnPMbCP_n_V8CAAA,2024-03-27,2024-04-01,,645.0
32946802,08,MCALISTER 33C,3H,"PIONEER NATURAL RES. USA, INC.(665748)",MIDLAND,Submitted: 02/05/2024 Approved: 03/08/2024,897068,Horizontal,New Drill,N,8640,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=496923742&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9IqRDhyMIp2bNGgGI4NiC44A2TIouQ9AH1_aRYHU6ZxJx-PpeGQWnIPMggsQD4h1WScX-n2NTcVPMPMf9myGIUpGbZbsp4msDe8rVWqtSCBhJZ-3x5KgmmCDznvXty8WO5fibrT49ePKmkAiDZ1Nl9AcwpPxnog1oE0j9ofwag3WF6I2wG_CVHHulthGNhg03Zvxo50zUgYlH3Wx4dMmZHi2revj0aXJjNz-1EIu6mv9Yqy42w3i7-4FDKa1eLXjvwcRp2qpm7KCyBIEz4qABp7X9BZE3P6-yzm_AS2ILbJfAgAA,2024-02-05,2024-03-08,Allocation,562.0
32946803,08,MCALISTER 33F,6H,"PIONEER NATURAL RES. USA, INC.(665748)",MIDLAND,Submitted: 02/05/2024 Approved: 03/08/2024,897069,Horizontal,New Drill,N,8640,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=496923744&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9IqRDhyMIp2bNGgGI4NiC44A2TIouQ9AH1_aRYHU6ZxJx-PpeGQWnIPMggsQD4h1WScX-n2NTcVPMPMf9myGIUpGbZbsp4msDe8rVWqtSCBhJZ-3x5KgmmCDznvXty8WO5fibrT49ePKmkAiDZ1Nl9AcwpPxnog1oE0j9ofwag3WF6I2wG_CVHHulthGNhg03Zvxo50zUgYlH3Wx4VMgMjzb1vXx6NJkRm5_aiEX9bV-MVbc7Qbxd_cCBtNavNrx34OIU7XUTVlBZAmCZ0VAA89regsibn_f5ZzfjlxKuV8CAAA,2024-02-05,2024-03-08,Allocation,562.0
32946804,08,MCALISTER 33O,15H,"PIONEER NATURAL RES. USA, INC.(665748)",MIDLAND,Submitted: 02/05/2024 Approved: 03/08/2024,897070,Horizontal,New Drill,N,8640,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=496923746&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQUJFk20oGDUaRzH0EzGBkUW1AEyJZByX0A-vjSLgqkTudMOh5PxyOz4BxkFlyAuENs6za5MLy02DX8CAv_YU56HKNk1GbJfOrIbHjfFLVSBQkkbOTj7lATLGbYofPeDfbJYO9SfJ4Mfv24si6QSEFv0jl0-_CgvSeiBDRpwmEfXo3G9kzUFvhVmCYu3RptZKNG3b9pP5klI2Uo5L2qtlzNVQknY90QDy7NZuT2pxZyVV_qV2PFzW4Qf3evYNTW4MWO_x5EHJu1bs4KIksQPBcEFPBc0lsRcf37Juf8BudzfYlfAgAA,2024-02-05,2024-03-08,Allocation,562.0
32946808,08,WTH 10-3 J,134,ENDEAVOR ENERGY RESOURCES L.P.(251726),MIDLAND,Submitted: 02/06/2024 Approved: 03/08/2024,897117,Horizontal,New Drill,N,8100,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=496951202&rrcActionMan=H4sIAAAAAAAAAL1QTW-DMAz9Nd0RJSEgdvABTd157ar1gHpIwUojAUFO2IfEj59hmtTRnXvK8_PL87MnKQSoSQoJ8oGoLuvofL-vqanECRb-A89mGIJKuJ1E_DQhsf59k5ZapyxQsFHP22PJMJ1hQ65tXW9fkDoXw25E-vpxTRrPIg0dxotvDv7JtC0TGRDGkfqDf0VD9YWpAsRNmCos3ZJsSAZDpnsz7YhLRs6QqkedF6KYqwzOaF0fji7OZuz2p5ZqVV_rV2Pl3W4QfnfPYTAW6WrHfw8iT9VaN2cFOSmQYkoZaBBTxm_OxO3vu5zzG3OE3P9fAgAA,2024-02-06,2024-03-08,Allocation,1322.08
32946809,08,WTH 10-3 D1,144,ENDEAVOR ENERGY RESOURCES L.P.(251726),MIDLAND,Submitted: 02/06/2024 Approved: 03/08/2024,897118,Horizontal,New Drill,N,8100,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=496951203&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LKRDByMop37CJrByKDYgiNAtgxK7gPQx5d2USB1OmfS8Xg6HpkF5yCz4ALEHWJTNcmF4aXBtuZHWPgPezLjGCWjNkv200TWhfeNqrRWJJCwkY8Ph4qgmmGLzns3dE8We5fi82Tx68eVtYFEGnqbzqHdh3vjPREFoE0TDvvwag02Z6K2wK_C1HHpVthFNho0_Zvxk10yUgYld7rc8t1cFXCynRviwaXZjNz-1EKu6kv9aqy42Q3i7-4ljKazeLHjvwcRx3qtm7OCyBIEz4qABp4Leksirn_f5Jzf0FC79F8CAAA,2024-02-06,2024-03-08,Allocation,1322.08
32946834,08,WTH 10-3 B,121,ENDEAVOR ENERGY RESOURCES L.P.(251726),MIDLAND,Submitted: 02/07/2024 Approved: 03/19/2024,897183,Horizontal,New Drill,N,11000,843749,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=496957328&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LKRDhyMIp37CJrByKDYgiJAtgxK7gPwx5d2USB1OmfS8Xg6HjkJzkFOggsQd4hN1WQf-5cG25ofYeE_7MkMQ5KM2izbT5OYi-8bVWmtSCBhIx93h4qgmmGLPgTfuyeLnc_pebT49ePK2kgiDZ3N59ju44MJgYgC0OYR-318tQabM1Fb4Fdh6rR0K3SJDQZN92bCaJeMlEHJe11ulZ6rAk7W-T4dfJ7NyO1PLeSqvtSvxoqb3SD97l7CYJzFix3_PYg41mvdnBXEJEHwSRHQwKeC3pKI6983Oec3bc0AWV8CAAA,2024-02-07,2024-03-19,"Allocation, Stacked Lateral",829.2
32946835,08,WTH 10-3 D,141,ENDEAVOR ENERGY RESOURCES L.P.(251726),MIDLAND,Submitted: 02/07/2024 Approved: 03/19/2024,897185,Horizontal,New Drill,N,11000,841243,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=496957331&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LKRDhyMIp37CJrByKDYgiJAtgxK7gPwx5d2USB1OmfS8Xg6HjkJzkFOggsQd4hN1WQf-5cG25ofYeE_7MkMQ5KM2izbT5OYi-8bVWmtSCBhIx93h4qgmmGLPgTfuyeLnc_pebT49ePK2kgiDZ3N59ju44MJgYgC0OYR-318tQabM1Fb4Fdh6rR0K3SJDQZN92bCaJeMlEHJe11uVTFXBZys8306-DybkdufWshVfalfjRU3u0H63b2EwTiLFzv-exBxrNe6OSuISYLgkyKggU8FvSUR179vcs5vzhlnUl8CAAA,2024-02-07,2024-03-19,"Allocation, Stacked Lateral",829.18
32946836,08,WTH 10-3 B,224,ENDEAVOR ENERGY RESOURCES L.P.(251726),MIDLAND,Submitted: 02/07/2024 Approved: 03/19/2024,897184,Horizontal,New Drill,N,11000,843749,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=496957329&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LKRDhyMIp37CJrByKDYgiJAtgxK7gPwx5d2USB1OmfS8Xg6HjkJzkFOggsQd4hN1WQf-5cG25ofYeE_7MkMQ5KM2izbT5OYi-8bVWmtSCBhIx93h4qgmmGLPgTfuyeLnc_pebT49ePK2kgiDZ3N59ju44MJgYgC0OYR-318tQabM1Fb4Fdh6rR0K3SJDQZN92bCaJeMlEHJe11uVTlXBZys8306-DybkdufWshVfalfjRU3u0H63b2EwTiLFzv-exBxrNe6OSuISYLgkyKggU8FvSUR179vcs5vK2TPT18CAAA,2024-02-07,2024-03-19,"Allocation, Stacked Lateral",829.2
32946863,08,KING 18-35 E,354,ENDEAVOR ENERGY RESOURCES L.P.(251726),MIDLAND,Submitted: 02/29/2024 Approved: 03/19/2024,897831,Horizontal,New Drill,N,13000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=496962473&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQUJFkx0oGDUaRzkwbNYGRQbEERIFsGJfcB6ONLuyiQOp0z6Xg8HY_MgnOQWXAB4gGxqZrkQr9vsK35CWb-w5z1METJqM2S-dSR2fC-KiqlChJIWMnn7bEiWEywRee96-2Lwc6luBsNfv24sjaQSEFn0iW0h_CkvSdiDWjSiP0hvBqNzYWoDfCbMHWcuxXayAaNunvTfjRzRspQyEdVbsopEBmejXV9PLo0mZHbn1rIRX2tX4wVd7tB_N29hEFbg1c7_nsQcaqXuikriCxB8FwQUMDzmt6SiNvfdznnN9snwMJfAgAA,2024-02-29,2024-03-19,Allocation,544.88
32946884,08,WTH 10-3 E1,154,ENDEAVOR ENERGY RESOURCES L.P.(251726),MIDLAND,Submitted: 03/13/2024 Approved: 03/15/2024,898152,Horizontal,New Drill,N,8100,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497084972&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQ09LLhDhyMIp2bNGgGI4NiC4oA2zIouQ9AH1_aRYHU6ZxJx-PpeGTijIFInHHgD4hN1UTnh32Dbc1OsPAf5qzHMYiM2lk0nzpk1r9vZKWUJIGAjXjeHiuCcoYtuq5zg30x2LsYdpPBrx_XrPUkUtCbePHtwT_priMiBzRxwuHgX43G5kJUCewmTB2WboU2ZKNG3b_pbjJLRsogxaMqylLNVQ5nY90Qji7OZuT2p-ZiVV_rV2P53W4QfncvYNTW4NWO_x6En-q1bs4KPAngLEkCCljK6S2IuP19l3N-AxTVSppfAgAA,2024-03-13,2024-03-15,Allocation,1322.08
32946893,08,WTH 10-3 H1,184,ENDEAVOR ENERGY RESOURCES L.P.(251726),MIDLAND,Submitted: 03/22/2024 Approved: 03/25/2024,898306,Horizontal,New Drill,N,8100,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497119589&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9IqRDByMop3bJGgGI4NiC44A2TIouQ9AH1_aRYHU6ZxJx-PpeGQWnIPMggsQD4h1WScX-l2NTcVPMPMf9myGIUpGbZbsp4msDe8rVWqtSCBhJZ-fjiVBNcEGnfeub18sdi7F19Hi148rawKJNHQ2XUJzCI_GeyLWgDaN2B_C3hqsL0RtgN-EqeLcLbGNbDBoujfjRztnpAxKbnWx2U6ByPBsW9fHo0uTGbn9qYVc1Nf6xVhxtxvE390LGExr8WrHfw8iTtVSN2UFkSUInhUBDTyv6S2IuP19l3N-A_tvqeVfAgAA,2024-03-22,2024-03-25,Allocation,1322.08
38941050,08,REV CON T8-50-7 A,0031WA,CHEVRON U. S. A. INC.(148113),REEVES,Submitted: 01/26/2024 Approved: 03/11/2024,896866,Horizontal,New Drill,N,10800,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=496913450&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQUJFkO0oGDUaRzkwbNYGRQbEERIFsGJfcB6ONLuyiQOp0z6Xg8HY_MgnOQWXAB4gGxqZrkQr9vsK35CWb-w5z1METJqM2S-dSR2fC-KiqlChJIWMnn7bEiWEywRee96-2Lwc6luBsNfv24sjaQSEFn0iW0h_CkvSeiBDRpxP4QXo3G5kLUBvhNmDrO3QptZING3b1pP5o5I2UoNo-KrPhUlXA21vXx6NJkRm5_aiEX9bV-MVbc7Qbxd_c1DNoavNrx34OIU73UTVlBZAmC54KAAp5LetdE3P6-yzm_AZ72-XNfAgAA,2024-01-26,2024-03-11,Allocation,750.83
38941061,08,REV CON STATE T8-50-17 E,0041WA,CHEVRON U. S. A. INC.(148113),REEVES,Submitted: 02/05/2024 Approved: 03/11/2024,897104,Horizontal,New Drill,N,10800,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=496941043&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQURPmBdOBgFOncR9AMRgbFFhQBtmVQch-APr60iwKp0zmTjsfT8cgEUqJKIAHhjqipmuj88NJQW8sjLvyHOelxDEpwW0TzqYOw_n2TVXmesUDhRj3uDhXDbIYtua5zg30y1LsYnidDXz-uovUsyrE38ezbvX_QXcdEgWTiRMPevxpNzZmpLcqrMHVYuhXZIEZNun_T3WSWjJwh297nIEuYqwJPxrohHFyczdjtTw1qVV_qV2PhZjcIv7uXOGpr6GLHfw8Cx3qtm7MiJIUgU8YgR5kKfksmrn_f5Jzft5zjqF8CAAA,2024-02-05,2024-03-11,Allocation,1794.88
38941062,08,REV CON STATE T8-50-17 F,0042WA,CHEVRON U. S. A. INC.(148113),REEVES,Submitted: 02/05/2024 Approved: 03/11/2024,897105,Horizontal,New Drill,N,11800,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=496941044&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9IqRDhyMIp2bNGgGI4NiC44A2TIouQ9AH1_aRYHU6ZxJx-PpeGQWnIPMggsQD4h1WScX-n2NTcVPMPMf9myGIUpGbZbsp4msDe8rVWqtSCBhJZ-3x5KgmmCDznvXty8WO5fibrT49ePKmkAiDZ1Nl9AcwpPxnog1oE0j9ofwag3WF6I2wG_CVHHulthGNhg03Zvxo50zUga1edSCF9MmZHi2revj0aXJjNz-1EIu6mv9Yqy42w3i7-4FDKa1eLXjvwcRp2qpm7KCyBIEz4qABp7X9BZE3P6-yzm_AVLhS7VfAgAA,2024-02-05,2024-03-11,Allocation,1794.88
38941063,08,REV CON STATE T8-50-17 G,0043WA,CHEVRON U. S. A. INC.(148113),REEVES,Submitted: 02/05/2024 Approved: 03/11/2024,897106,Horizontal,New Drill,N,10800,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=496941047&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9IqRDhyMIp2bNGgGI4NiC44A2TIouQ9AH1_aRYHU6ZxJx-PpeGQWnIPMggsQD4h1WScX-n2NTcVPMPMf9myGIUpGbZbsp4msDe8rVWqtSCBhJZ-3x5KgmmCDznvXty8WO5fibrT49ePKmkAiDZ1Nl9AcwpPxnog1oE0j9ofwag3WF6I2wG_CVHHulthGNhg03Zvxo50zUga1edSCF1MgMjzb1vXx6NJkRm5_aiEX9bV-MVbc7Qbxd_cCBtNavNrx34OIU7XUTVlBZAmCZ0VAA89regsibn_f5Zzf8TUsvl8CAAA,2024-02-05,2024-03-11,Allocation,1794.88
38941065,08,REV CON STATE T8-50-17 I,0045WA,CHEVRON U. S. A. INC.(148113),REEVES,Submitted: 02/05/2024 Approved: 03/12/2024,897108,Horizontal,New Drill,N,10800,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=496947177&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQUJFk20oGDUaRzH0EzGBkUW1AEyJZByX0A-vjSLgqkTudMOh5PxyOz4BxkFlyAuENs6za5MLy02DX8CAv_YU56HKNk1GbJfOrIbHjfFLVSBQkkbOTj7lATLGbYofPeDfbJYO9SfJ4Mfv24si6QSEFv0jl0-_CgvSeiBDRpwmEfXo3G9kzUFvhVmCYu3RptZKNG3b9pP5klI2UotvdK8KqcqxJOxrohHlyazcjtTy3kqr7Ur8aKm90g_u5ewaitwYsd_z2IODZr3ZwVRJYgeC4IKOC5pLci4vr3Tc75DTvOfIVfAgAA,2024-02-05,2024-03-12,Allocation,646.39
38941102,08,STATE POGO STICK 57-T1-45X4 A,W101H,BPX OPERATING COMPANY(085408),REEVES,Submitted: 02/27/2024 Approved: 03/11/2024,897734,Horizontal,New Drill,N,9901,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497012604&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQUJFkO0oGDUaRzkwbNYGRQbEERIFsGJfcB6ONLuyiQOp0z6Xg8HY_MgnOQWXAB4gGxqZrkQr9vsK35CWb-w5z1METJqM2S-dSR2fC-KiqlChJIWMnn7bEiWEywRee96-2Lwc6luBsNfv24sjaQSEFn0iW0h_CkvSeiBDRpxP4QXo3G5kLUBvhNmDrO3QptZING3b1pP5o5I2UoNo9KUJipKuFsrOvj0aXJjNz-1EIu6mv9Yqy42w3i7-5rGLQ1eLXjvwcRp3qpm7KCyBIEzwUBBTyX9K6JuP19l3N-A4doVcpfAgAA,2024-02-27,2024-03-11,PSA,645.86
38941103,08,STATE POGO STICK 57-T1-45X4 B,W102H,BPX OPERATING COMPANY(085408),REEVES,Submitted: 02/27/2024 Approved: 03/11/2024,897735,Horizontal,New Drill,N,9901,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497012605&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQUJFkO0oGDUaRzkwbNYGRQbEERIFsGJfcB6ONLuyiQOp0z6Xg8HY_MgnOQWXAB4gGxqZrkQr9vsK35CWb-w5z1METJqM2S-dSR2fC-KiqlChJIWMnn7bEiWEywRee96-2Lwc6luBsNfv24sjaQSEFn0iW0h_CkvSeiBDRpxP4QXo3G5kLUBvhNmDrO3QptZING3b1pP5o5I2UoNo9KUIKpKuFsrOvj0aXJjNz-1EIu6mv9Yqy42w3i7-5rGLQ1eLXjvwcRp3qpm7KCyBIEzwUBBTyX9K6JuP19l3N-AyS8MsFfAgAA,2024-02-27,2024-03-11,PSA,645.86
38941104,08,STATE POGO STICK 57-T1-45X4 BA,W201H,BPX OPERATING COMPANY(085408),REEVES,Submitted: 02/27/2024 Approved: 03/11/2024,897736,Horizontal,New Drill,N,9901,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497012606&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQUJFkO0oGDUaRzkwbNYGRQbEERIFsGJfcB6ONLuyiQOp0z6Xg8HY_MgnOQWXAB4gGxqZrkQr9vsK35CWb-w5z1METJqM2S-dSR2fC-KiqlChJIWMnn7bEiWEywRee96-2Lwc6luBsNfv24sjaQSEFn0iW0h_CkvSeiBDRpxP4QXo3G5kLUBvhNmDrO3QptZING3b1pP5o5I2UoNo9KkPlUlXA21vXx6NJkRm5_aiEX9bV-MVbc7Qbxd_c1DNoavNrx34OIU73UTVlBZAmC54KAAp5LetdE3P6-yzm_AU2TBfFfAgAA,2024-02-27,2024-03-11,PSA,645.86
38941105,08,STATE POGO STICK 57-T1-45X4 BB,W202H,BPX OPERATING COMPANY(085408),REEVES,Submitted: 02/27/2024 Approved: 03/11/2024,897737,Horizontal,New Drill,N,9901,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497012607&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQUJFkO0oGDUaRzkwbNYGRQbEERIFsGJfcB6ONLuyiQOp0z6Xg8HY_MgnOQWXAB4gGxqZrkQr9vsK35CWb-w5z1METJqM2S-dSR2fC-KiqlChJIWMnn7bEiWEywRee96-2Lwc6luBsNfv24sjaQSEFn0iW0h_CkvSeiBDRpxP4QXo3G5kLUBvhNmDrO3QptZING3b1pP5o5I2UoNo9KkNdUlXA21vXx6NJkRm5_aiEX9bV-MVbc7Qbxd_c1DNoavNrx34OIU73UTVlBZAmC54KAAp5LetdE3P6-yzm_Ae5HYvpfAgAA,2024-02-27,2024-03-11,PSA,645.86
38941106,08,STATE POGO STICK 57-T1-45X4 YA,X101H,BPX OPERATING COMPANY(085408),REEVES,Submitted: 02/27/2024 Approved: 03/11/2024,897738,Horizontal,New Drill,N,9901,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497012608&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQURPmBdOBgFOncR9AMRgbFFhQBtmVQch-APr60iwKp0zmTjsfT8cgEUqJKIAHhjqipmuj88NJQW8sjLvyHOelxDEpwW0TzqYOw_n2TVXmesUDhRj3uDhXDbIYtua5zg30y1LsYnidDXz-uovUsyrE38ezbvX_QXcdEgWTiRMPevxpNzZmpLcqrMHVYuhXZIEZNun_T3WSWjJwh297nALKcqwJPxrohHFyczdjtTw1qVV_qV2PhZjcIv7uXOGpr6GLHfw8Cx3qtm7MiJIUgU8YgR5kKfksmrn_f5JzfCzrK518CAAA,2024-02-27,2024-03-11,PSA,645.86
